AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.490355,0.161719,3.739441,0.087830,3.651611,217.018598,0.516309,13.310299,6.879298,0.163849,0.174024,3.165344,0.035278,3.130066,194.214241,0.238957,13.028967,6.737297,0.445338,0.151176,3.061829,0.331116,2.730713,176.711239,0.470274,12.319744,6.877250,0
0.486432,0.143507,3.927246,0.086975,3.840271,346.396077,0.507139,16.323511,6.885182,0.173042,0.247728,3.635864,0.082153,3.553711,148.061188,0.302079,11.732358,6.635515,0.450267,0.160598,3.828125,0.369751,3.458374,215.839238,0.478024,12.548886,6.873583,0
0.486734,0.140330,3.729492,0.330383,3.399109,311.953728,0.506540,15.778412,6.886301,0.171187,0.255929,3.896790,0.003235,3.893555,157.371145,0.307797,12.249106,6.629238,0.447789,0.175709,3.908508,0.085266,3.823242,205.752444,0.480997,12.920767,6.869163,0
0.489209,0.162215,3.973938,0.330078,3.643860,267.728669,0.515377,14.855524,6.880385,0.164040,0.172781,3.065735,0.005554,3.060181,186.418555,0.238186,12.987520,6.740800,0.445293,0.148789,3.419250,0.090393,3.328857,252.011073,0.469470,14.395089,6.879026,0
0.482508,0.107961,3.085266,0.302551,2.782715,364.070649,0.494427,17.271343,6.894124,0.165281,0.182794,3.895813,0.083130,3.812683,235.263903,0.246369,14.039145,6.729619,0.443332,0.129116,3.339417,0.332703,3.006714,274.120085,0.461734,14.300833,6.884352,0
0.482766,0.093060,1.755188,0.051819,1.703369,107.250423,0.491645,9.941032,6.895159,0.166522,0.201708,3.171204,0.080200,3.091004,159.207043,0.261486,12.233120,6.701961,0.448673,0.148895,3.204163,0.330017,2.874146,165.034413,0.472710,11.336264,6.876805,0
0.485671,0.134422,3.739441,0.331360,3.408081,373.046295,0.503912,17.479672,6.888508,0.170191,0.181966,2.587219,0.081665,2.505554,94.229638,0.249085,9.246523,6.705541,0.444962,0.138465,2.833008,0.329712,2.503296,183.466655,0.465988,12.369529,6.881135,0
0.488648,0.140388,3.446594,0.332458,3.114136,225.389769,0.508395,13.275200,6.885008,0.162252,0.172071,3.364563,0.117126,3.247437,250.857528,0.236442,14.943334,6.750857,0.444328,0.144224,3.843506,0.329590,3.513916,328.647751,0.467127,15.849820,6.880900,0
0.483453,0.090360,1.482544,0.335022,1.147522,96.560534,0.491816,9.747097,6.896035,0.164427,0.187939,3.917297,0.078308,3.838989,231.688252,0.249644,14.051382,6.723150,0.447292,0.167184,3.908508,0.303467,3.605041,225.127304,0.477486,13.346821,6.872419,0
0.490764,0.177553,3.828186,0.289795,3.538391,218.379059,0.521865,13.849325,6.876032,0.171255,0.244059,3.429565,0.083679,3.345886,135.704554,0.298050,11.460421,6.640646,0.446041,0.137353,3.253235,0.291565,2.961670,196.880791,0.466690,12.012481,6.880598,0
0.488306,0.172497,3.833435,0.333313,3.500122,290.977295,0.517850,16.044817,6.879020,0.169976,0.231510,3.661438,0.122192,3.539246,164.070741,0.287115,12.387512,6.663426,0.446490,0.131745,2.466125,0.276855,2.189270,102.768091,0.465502,9.320647,6.881104,0
0.489311,0.153834,3.970520,0.330444,3.640076,287.058877,0.512901,14.950338,6.882315,0.175853,0.260095,3.920227,0.052551,3.867676,136.995895,0.313857,11.174190,6.610628,0.451204,0.185617,3.729797,0.311707,3.418090,178.292731,0.487857,12.205407,6.865609,0
0.483438,0.092408,1.494446,0.266174,1.228272,93.391886,0.492182,9.534864,6.895455,0.175321,0.271714,3.921753,0.040405,3.881348,143.186420,0.323252,11.600260,6.601904,0.447204,0.152672,3.831299,0.336853,3.494446,262.959091,0.472522,14.041679,6.877313,0
